Target_Y | Src_Y_Float | Pre_Idx | Pre_Weight | Post_Idx | Post_Weight
      47 |    105.1250 |     105 |        224 |      106 |          32
      48 |    107.3750 |     107 |        160 |      108 |          96
      49 |    109.6250 |     109 |         96 |      110 |         160
      50 |    111.8750 |     111 |         32 |      112 |         224
      51 |    114.1250 |     114 |        224 |      115 |          32
      52 |    116.3750 |     116 |        160 |      117 |          96
      53 |    118.6250 |     118 |         96 |      119 |         160
      54 |    120.8750 |     120 |         32 |      121 |         224
      55 |    123.1250 |     123 |        224 |      124 |          32
      56 |    125.3750 |     125 |        160 |      126 |          96
      57 |    127.6250 |     127 |         96 |      128 |         160
      58 |    129.8750 |     129 |         32 |      130 |         224
      59 |    132.1250 |     132 |        224 |      133 |          32
      60 |    134.3750 |     134 |        160 |      135 |          96
      61 |    136.6250 |     136 |         96 |      137 |         160
      62 |    138.8750 |     138 |         32 |      139 |         224
      63 |    141.1250 |     141 |        224 |      142 |          32
      64 |    143.3750 |     143 |        160 |      144 |          96
      65 |    145.6250 |     145 |         96 |      146 |         160
      66 |    147.8750 |     147 |         32 |      148 |         224
      67 |    150.1250 |     150 |        224 |      151 |          32
      68 |    152.3750 |     152 |        160 |      153 |          96
      69 |    154.6250 |     154 |         96 |      155 |         160
      70 |    156.8750 |     156 |         32 |      157 |         224
      71 |    159.1250 |     159 |        224 |      160 |          32
      72 |    161.3750 |     161 |        160 |      162 |          96
      73 |    163.6250 |     163 |         96 |      164 |         160
      74 |    165.8750 |     165 |         32 |      166 |         224
      75 |    168.1250 |     168 |        224 |      169 |          32
      76 |    170.3750 |     170 |        160 |      171 |          96
      77 |    172.6250 |     172 |         96 |      173 |         160
      78 |    174.8750 |     174 |         32 |      175 |         224
      79 |    177.1250 |     177 |        224 |      178 |          32
      80 |    179.3750 |     179 |        160 |      180 |          96
      81 |    181.6250 |     181 |         96 |      182 |         160
      82 |    183.8750 |     183 |         32 |      184 |         224
      83 |    186.1250 |     186 |        224 |      187 |          32
      84 |    188.3750 |     188 |        160 |      189 |          96
      85 |    190.6250 |     190 |         96 |      191 |         160
      86 |    192.8750 |     192 |         32 |      193 |         224
      87 |    195.1250 |     195 |        224 |      196 |          32
      88 |    197.3750 |     197 |        160 |      198 |          96
      89 |    199.6250 |     199 |         96 |      200 |         160
      90 |    201.8750 |     201 |         32 |      202 |         224
      91 |    204.1250 |     204 |        224 |      205 |          32
      92 |    206.3750 |     206 |        160 |      207 |          96
      93 |    208.6250 |     208 |         96 |      209 |         160
      94 |    210.8750 |     210 |         32 |      211 |         224
      95 |    213.1250 |     213 |        224 |      214 |          32
      96 |    215.3750 |     215 |        160 |      216 |          96
      97 |    217.6250 |     217 |         96 |      218 |         160
      98 |    219.8750 |     219 |         32 |      220 |         224
      99 |    222.1250 |     222 |        224 |      223 |          32
     100 |    224.3750 |     224 |        160 |      225 |          96
     101 |    226.6250 |     226 |         96 |      227 |         160
     102 |    228.8750 |     228 |         32 |      229 |         224
     103 |    231.1250 |     231 |        224 |      232 |          32
     104 |    233.3750 |     233 |        160 |      234 |          96
     105 |    235.6250 |     235 |         96 |      236 |         160
     106 |    237.8750 |     237 |         32 |      238 |         224
     107 |    240.1250 |     240 |        224 |      241 |          32
     108 |    242.3750 |     242 |        160 |      243 |          96
     109 |    244.6250 |     244 |         96 |      245 |         160
     110 |    246.8750 |     246 |         32 |      247 |         224
     111 |    249.1250 |     249 |        224 |      250 |          32
     112 |    251.3750 |     251 |        160 |      252 |          96
     113 |    253.6250 |     253 |         96 |      254 |         160
     114 |    255.8750 |     255 |         32 |      256 |         224
     115 |    258.1250 |     258 |        224 |      259 |          32
     116 |    260.3750 |     260 |        160 |      261 |          96
     117 |    262.6250 |     262 |         96 |      263 |         160
     118 |    264.8750 |     264 |         32 |      265 |         224
     119 |    267.1250 |     267 |        224 |      268 |          32
     120 |    269.3750 |     269 |        160 |      270 |          96
     121 |    271.6250 |     271 |         96 |      272 |         160
     122 |    273.8750 |     273 |         32 |      274 |         224
     123 |    276.1250 |     276 |        224 |      277 |          32
     124 |    278.3750 |     278 |        160 |      279 |          96
     125 |    280.6250 |     280 |         96 |      281 |         160
     126 |    282.8750 |     282 |         32 |      283 |         224
     127 |    285.1250 |     285 |        224 |      286 |          32
     128 |    287.3750 |     287 |        160 |      288 |          96
     129 |    289.6250 |     289 |         96 |      290 |         160
     130 |    291.8750 |     291 |         32 |      292 |         224
     131 |    294.1250 |     294 |        224 |      295 |          32
     132 |    296.3750 |     296 |        160 |      297 |          96
     133 |    298.6250 |     298 |         96 |      299 |         160
     134 |    300.8750 |     300 |         32 |      301 |         224
     135 |    303.1250 |     303 |        224 |      304 |          32
     136 |    305.3750 |     305 |        160 |      306 |          96
     137 |    307.6250 |     307 |         96 |      308 |         160
     138 |    309.8750 |     309 |         32 |      310 |         224
     139 |    312.1250 |     312 |        224 |      313 |          32
     140 |    314.3750 |     314 |        160 |      315 |          96
     141 |    316.6250 |     316 |         96 |      317 |         160
     142 |    318.8750 |     318 |         32 |      319 |         224
     143 |    321.1250 |     321 |        224 |      322 |          32
     144 |    323.3750 |     323 |        160 |      324 |          96
     145 |    325.6250 |     325 |         96 |      326 |         160
     146 |    327.8750 |     327 |         32 |      328 |         224
     147 |    330.1250 |     330 |        224 |      331 |          32
     148 |    332.3750 |     332 |        160 |      333 |          96
     149 |    334.6250 |     334 |         96 |      335 |         160
     150 |    336.8750 |     336 |         32 |      337 |         224
     151 |    339.1250 |     339 |        224 |      340 |          32
     152 |    341.3750 |     341 |        160 |      342 |          96
     153 |    343.6250 |     343 |         96 |      344 |         160
     154 |    345.8750 |     345 |         32 |      346 |         224
     155 |    348.1250 |     348 |        224 |      349 |          32
